             VARIABLE : Monthly Mean Air Temperature at sigma level 0.995 (degC)
             DATA SET : monthly mean air.sig995 from the NCEP Reanalysis
             FILENAME : air.sig995.mon.mean.nc
             FILEPATH : https://www.esrl.noaa.gov/psd/thredds/dodsC/Datasets/ncep.reanalysis.derived/surface/
             BAD FLAG : -1.E+34       
             SUBSET   : 342 points (TIME)
             LONGITUDE: 87.5E
             LATITUDE : 45N
         	87.5E
01-JAN-2009 00:00	-9.70289
01-FEB-2009 00:00	-6.631423
01-MAR-2009 00:00	0.9251627
01-APR-2009 00:00	9.128669
01-MAY-2009 00:00	11.86097
01-JUN-2009 00:00	17.25367
01-JUL-2009 00:00	21.8829
01-AUG-2009 00:00	20.51452
01-SEP-2009 00:00	15.21934
01-OCT-2009 00:00	8.620977
01-NOV-2009 00:00	-4.274663
01-DEC-2009 00:00	-10.35838
01-JAN-2010 00:00	-9.351926
01-FEB-2010 00:00	-7.971066
01-MAR-2010 00:00	-4.457418
01-APR-2010 00:00	4.895669
01-MAY-2010 00:00	12.20452
01-JUN-2010 00:00	20.13334
01-JUL-2010 00:00	22.73871
01-AUG-2010 00:00	20.46032
01-SEP-2010 00:00	15.60934
01-OCT-2010 00:00	6.611297
01-NOV-2010 00:00	-1.519327
01-DEC-2010 00:00	-8.787733
01-JAN-2011 00:00	-16.87516
01-FEB-2011 00:00	-6.722497
01-MAR-2011 00:00	-4.719997
01-APR-2011 00:00	9.284339
01-MAY-2011 00:00	13.40065
01-JUN-2011 00:00	20.72367
01-JUL-2011 00:00	22.17032
01-AUG-2011 00:00	21.64323
01-SEP-2011 00:00	15.27667
01-OCT-2011 00:00	6.483554
01-NOV-2011 00:00	-0.7983285
01-DEC-2011 00:00	-11.02644
01-JAN-2012 00:00	-11.77354
01-FEB-2012 00:00	-8.731025
01-MAR-2012 00:00	-0.09870777
01-APR-2012 00:00	9.785338
01-MAY-2012 00:00	14.39226
01-JUN-2012 00:00	19.62567
01-JUL-2012 00:00	21.12
01-AUG-2012 00:00	20.58097
01-SEP-2012 00:00	15.75768
01-OCT-2012 00:00	5.750976
